Country,Dishes,Dish_Normalized,Links,Flag
Afghanistan, Kabuli palaw, Kabuli palaw,https://www.google.com/search?q=+Kabuli+palaw+Afghanistan,🇦🇫
Albania, Tavë kosi, Tave kosi,https://www.google.com/search?q=+Tave+kosi+Albania,🇦🇱
Albania, Flia, Flia,https://www.google.com/search?q=+Flia+Albania,🇦🇱
Algeria, Couscous, Couscous,https://www.google.com/search?q=+Couscous+Algeria,🇩🇿
Andorra, Escudella i carn d'olla, Escudella i carn d'olla,https://www.google.com/search?q=+Escudella+i+carn+d'olla+Andorra,🇦🇩
Angola, Moamba de galinha, Moamba de galinha,https://www.google.com/search?q=+Moamba+de+galinha+Angola,🇦🇴
Argentina, Asado, Asado,https://www.google.com/search?q=+Asado+Argentina,🇦🇷
Argentina, empanada, empanada,https://www.google.com/search?q=+empanada+Argentina,🇦🇷
Argentina, matambre, matambre,https://www.google.com/search?q=+matambre+Argentina,🇦🇷
Argentina, locro, locro,https://www.google.com/search?q=+locro+Argentina,🇦🇷
Armenia, Harisa, Harisa,https://www.google.com/search?q=+Harisa+Armenia,🇦🇲
Australia, Roast lamb, Roast lamb,https://www.google.com/search?q=+Roast+lamb+Australia,🇦🇺
Australia, meat pie, meat pie,https://www.google.com/search?q=+meat+pie+Australia,🇦🇺
Australia, pavlova, pavlova,https://www.google.com/search?q=+pavlova+Australia,🇦🇺
Australia, Vegemite on toast, Vegemite on toast,https://www.google.com/search?q=+Vegemite+on+toast+Australia,🇦🇺
Austria, Wiener schnitzel, Wiener schnitzel,https://www.google.com/search?q=+Wiener+schnitzel+Austria,🇦🇹
Azerbaijan, Dolma, Dolma,https://www.google.com/search?q=+Dolma+Azerbaijan,🇦🇿
Bahamas, Crack conch with peas and rice, Crack conch with peas and rice,https://www.google.com/search?q=+Crack+conch+with+peas+and+rice+Bahamas,🇧🇸
Bahrain, Kabsa, Kabsa,https://www.google.com/search?q=+Kabsa+Bahrain,🇧🇭
Bangladesh, Rice and fish (particularly ilish), Rice and fish (particularly ilish),https://www.google.com/search?q=+Rice+and+fish+(particularly+ilish)+Bangladesh,🇧🇩
Barbados, Cou-cou and flying fish, Cou-cou and flying fish,https://www.google.com/search?q=+Cou-cou+and+flying+fish+Barbados,🇧🇧
Belarus, Draniki, Draniki,https://www.google.com/search?q=+Draniki+Belarus,🇧🇾
Belgium, Frites (particularly served with mussels or steak), Frites (particularly served with mussels or steak),https://www.google.com/search?q=+Frites+(particularly+served+with+mussels+or+steak)+Belgium,🇧🇪
Belgium, carbonade flamande, carbonade flamande,https://www.google.com/search?q=+carbonade+flamande+Belgium,🇧🇪
Belgium, Waterzooi, Waterzooi,https://www.google.com/search?q=+Waterzooi+Belgium,🇧🇪
Belgium, chocolate mousse, chocolate mousse,https://www.google.com/search?q=+chocolate+mousse+Belgium,🇧🇪
Bhutan, Ema datshi, Ema datshi,https://www.google.com/search?q=+Ema+datshi+Bhutan,🇧🇹
Bolivia, Salteñas, Saltenas,https://www.google.com/search?q=+Saltenas+Bolivia,🇧🇴
Bosnia and Herzegovina, Bosnian pot, Bosnian pot,https://www.google.com/search?q=+Bosnian+pot+Bosnia and Herzegovina,🇧🇦
Bosnia and Herzegovina, Ćevapi, Cevapi,https://www.google.com/search?q=+Cevapi+Bosnia and Herzegovina,🇧🇦
Botswana, Seswaa, Seswaa,https://www.google.com/search?q=+Seswaa+Botswana,🇧🇼
Brazil, Feijoada, Feijoada,https://www.google.com/search?q=+Feijoada+Brazil,🇧🇷
Brunei, Ambuyat, Ambuyat,https://www.google.com/search?q=+Ambuyat+Brunei,🇧🇳
Bulgaria, Shopska salad, Shopska salad,https://www.google.com/search?q=+Shopska+salad+Bulgaria,🇧🇬
Burundi, Boko Boko, Boko Boko,https://www.google.com/search?q=+Boko+Boko+Burundi,🇧🇮
Cambodia, Fish amok, Fish amok,https://www.google.com/search?q=+Fish+amok+Cambodia,🇰🇭
Cambodia, num banhchok, num banhchok,https://www.google.com/search?q=+num+banhchok+Cambodia,🇰🇭
Cambodia, samlar kako, samlar kako,https://www.google.com/search?q=+samlar+kako+Cambodia,🇰🇭
Cameroon, Ndole, Ndole,https://www.google.com/search?q=+Ndole+Cameroon,🇨🇲
Canada, Poutine, Poutine,https://www.google.com/search?q=+Poutine+Canada,🇨🇦
Canada, Kraft Dinner, Kraft Dinner,https://www.google.com/search?q=+Kraft+Dinner+Canada,🇨🇦
Canada, Nanaimo bar, Nanaimo bar,https://www.google.com/search?q=+Nanaimo+bar+Canada,🇨🇦
